Kingdom,Phylum,Class,Order,Family,Genus,ScientificName,CommonName,Slug,Description,AltitudeRange,ConservationStatus,LegalStatus,IsSensitive,ThumbnailUrl
Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus,Berosus,Escarabajo acuático,berosus,Pequeños escarabajos acuáticos que habitan en sedimentos y vegetación de humedales. Son importantes en la cadena trófica acuática como consumidores de detritos y algas.,0-2800 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/171811994/large.jpeg
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Besleria,Besleria cinnabarina,Besleria,besleria-cinnabarina,Arbusto de sotobosque con flores tubulares de color rojo intenso adaptadas a la polinización por colibríes. Es una especie característica de los bosques nublados andinos.,1500-2800 msnm,LC,False,False,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens rubifolia,Cadillo,bidens-rubifolia,"Hierba de crecimiento rápido, a menudo considerada maleza, con frutos provistos de ganchos para dispersión epizoócora. Es una especie pionera en suelos degradados.",1000-3000 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/111421139/original.jpg
Plantae,Tracheophyta,Magnoliopsida,Malvales,Bixaceae,Bixa,Bixa orellana,Achiote,bixa-orellana,Arbusto tropical conocido por sus semillas recubiertas de un arilo rojo intenso. Es una de las fuentes naturales de colorantes más importantes a nivel mundial.,0-1500 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/174601896/large.jpg
Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Blechnaceae,Blechnum,Blechnum loxense,Helecho arbóreo de Loxa,blechnum-loxense,Helecho arborescente de gran porte que habita en ecosistemas de alta montaña y páramos. Es una especie emblemática por su estructura arquitectónica y su papel en la retención de humedad en el suelo.,2000-3500 msnm,LC,False,False,https://static.inaturalist.org/photos/91937666/original.jpeg
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Blighia,Blighia sapida,Akee,blighia-sapida,"Árbol introducido en regiones tropicales, conocido por su fruto que, al madurar, expone arilos comestibles. Requiere un manejo cuidadoso debido a la toxicidad de las partes inmaduras.",0-1500 msnm,NE,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/155119983/original.jpeg
Animalia,Chordata,Reptilia,Squamata,Boidae,Boa,Boa constrictor,Boa constrictora,boa-constrictor,"Serpiente de gran tamaño, no venenosa, que desempeña un papel crucial como depredador tope en el control de poblaciones de roedores. Es una especie protegida en gran parte de su rango de distribución.",0-1500 msnm,LC,True,False,https://upload.wikimedia.org/wikipedia/commons/a/af/Boa_c.i.jpg
Animalia,Chordata,Amphibia,Anura,Hylidae,Boana,Boana platanera,Rana platanera,boana-platanera,"Anfibio arborícola común en zonas intervenidas y cultivos de plátano, adaptado a vivir cerca de asentamientos humanos. Es un indicador biológico de la calidad del agua en microcuencas.",0-2000 msnm,LC,False,False,
Animalia,Chordata,Amphibia,Anura,Hylidae,Boana,Boana pugnax,Rana pugnax,boana-pugnax,"Anfibio de hábitos nocturnos, caracterizado por su canto distintivo en las riberas de los ríos y zonas húmedas. Es una especie resiliente que habita en diversos pisos térmicos del Eje Cafetero.",500-2200 msnm,LC,False,False,
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Bocconia,Bocconia frutescens,Yarumo blanco,bocconia-frutescens,Arbusto de rápido crecimiento con hojas lobuladas y látex anaranjado característico. Es una especie pionera común en bordes de bosque y zonas perturbadas del Eje Cafetero.,1000-3000 msnm,LC,False,False,
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Boissonneaua,Boissonneaua flavescens,Colibrí sietecolores,boissonneaua-flavescens,Colibrí de tamaño mediano con plumaje llamativo y comportamiento territorial agresivo. Habita en bosques nublados y es un polinizador clave en los ecosistemas andinos.,1500-2800 msnm,LC,True,False,
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Boissonneaua,Boissonneaua jardini,Colibrí terciopelo,boissonneaua-jardini,"Ave de plumaje oscuro y tornasolado, muy apreciada por observadores de aves debido a su belleza y rareza relativa. Se encuentra principalmente en las estribaciones de la cordillera occidental.",1200-2200 msnm,NT,True,False,
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Bolborhynchus,Bolborhynchus ferrugineifrons,Periquito frentirrufo,bolborhynchus-ferrugineifrons,"Pequeño loro endémico de los Andes centrales de Colombia, caracterizado por su frente rojiza. Es una especie altamente especializada que depende de ecosistemas de alta montaña.",2800-4000 msnm,VU,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/108177573/large.jpg
Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa lozanoi,Salamandra de Lozano,bolitoglossa-lozanoi,"Anfibio urodelo de hábitos nocturnos y terrestres, con una distribución restringida en los bosques nublados de Caldas. Es una especie poco estudiada y de gran importancia para la biodiversidad local.",1800-2500 msnm,DD,True,False,
Plantae,Tracheophyta,Magnoliopsida,Liliales,Alstroemeriaceae,Bomarea,Bomarea linifolia,Bomarea,bomarea-linifolia,"Planta herbácea trepadora con inflorescencias vistosas de colores cálidos, característica de los bosques andinos. Es una especie con alto valor estético en ecosistemas de alta montaña.",2000-3500 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/71354372/large.jpg
Plantae,Tracheophyta,Magnoliopsida,Liliales,Alstroemeriaceae,Bomarea,Bomarea setacea,Bomarea,bomarea-setacea,Enredadera perenne con flores tubulares adaptadas a la polinización por colibríes. Se encuentra en bordes de bosque y zonas de transición en el Eje Cafetero.,2500-3800 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/37572186/original.jpeg
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus funebris,Abejorro andino,bombus-funebris,"Abejorro nativo de los Andes con vellosidad densa y coloración oscura, fundamental para la polinización de cultivos de altura. Es un polinizador clave para la biodiversidad regional.",2500-4000 msnm,LC,True,False,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus hortulanus,Abejorro de jardín,bombus-hortulanus,Especie de abejorro nativo con gran capacidad de forrajeo en climas fríos. Es vital para la reproducción de plantas nativas y cultivos de la región andina.,2000-3500 msnm,LC,True,False,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pauloensis,Abejorro neotropical,bombus-pauloensis,"Abejorro robusto con amplia distribución en los Andes, conocido por su adaptabilidad a diversos pisos térmicos. Es un componente esencial de la red trófica y de polinización.",1500-3500 msnm,LC,True,False,
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus rubicundus,Abejorro andino,bombus-rubicundus,"Abejorro nativo de los Andes colombianos, fundamental para la polinización de cultivos de altura y plantas silvestres. Se caracteriza por su pelaje denso que le permite termorregular en climas fríos.",2000-4000 msnm,LC,False,False,
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,Ganado vacuno,bos-taurus,Especie introducida de gran importancia económica en el Eje Cafetero para la producción de leche y carne. Es el pilar de la ganadería extensiva y semi-intensiva en la región.,0-3000 msnm,NE,False,False,https://upload.wikimedia.org/wikipedia/commons/6/62/Brahman_Baby.jpg
Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothriechis,Bothriechis schlegelii,Víbora de pestañas,bothriechis-schlegelii,Serpiente arborícola venenosa con escamas supraoculares prominentes que parecen pestañas. Es una especie emblemática para el ecoturismo de observación de fauna en bosques nublados.,0-2600 msnm,LC,True,False,
Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Brachygastra,Brachygastra lecheguana,Avispa mielera,brachygastra-lecheguana,Avispa social conocida por producir miel en sus nidos. Es una especie fascinante por su comportamiento de recolección de néctar y polen similar a las abejas.,0-2000 msnm,NE,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/51089117/original.jpeg
Animalia,Arthropoda,Insecta,Hemiptera,Gerridae,Brachymetra,Brachymetra albinerva,Zapatero de agua,brachymetra-albinerva,Insecto semiacuático que habita en la superficie de cuerpos de agua tranquilos. Actúa como controlador biológico de larvas de mosquitos y otros insectos pequeños.,0-2500 msnm,NE,False,False,
Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Brugmansia,Brugmansia aurea,Floripondio,brugmansia-aurea,"Arbusto de flores grandes y acampanadas, muy común en los jardines del Eje Cafetero. Es altamente tóxico debido a su contenido de alcaloides tropánicos.",1800-3000 msnm,LC,True,False,https://upload.wikimedia.org/wikipedia/commons/c/c6/2007_brugmansia_aurea.jpg
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Bryconamericus,Bryconamericus caldasi,Sardina de Caldas,bryconamericus-caldasi,Pequeño pez endémico de las cuencas hidrográficas de Caldas. Es un indicador importante de la calidad del agua en ecosistemas de montaña.,1000-2500 msnm,DD,True,False,https://images.phylopic.org/images/35dac003-e0f9-4f52-970c-2c42d5efb719/raster/1024x473.png
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,Bubulcus ibis,Garza ganadera,bubulcus-ibis,Ave cosmopolita que se ha adaptado exitosamente a los paisajes ganaderos del Eje Cafetero. Se alimenta de insectos asociados al ganado.,0-2500 msnm,LC,False,False,https://upload.wikimedia.org/wikipedia/commons/8/88/Bubulcus_ibis_0001.jpg
Plantae,Tracheophyta,Magnoliopsida,Zygophyllales,Zygophyllaceae,Bulnesia,Bulnesia arborea,Guayacán de bola,bulnesia-arborea,"Árbol de madera extremadamente dura y densa, apreciado por su durabilidad y belleza. Es una especie emblemática de bosques secos y zonas cálidas.",0-1200 msnm,VU,True,False,
Plantae,Tracheophyta,Magnoliopsida,Zygophyllales,Zygophyllaceae,Bulnesia,Bulnesia carrapo,Carrapo,bulnesia-carrapo,"Especie arbórea de madera muy resistente, estrechamente relacionada con el Guayacán. Se encuentra en zonas de transición hacia el bosque seco.",500-1500 msnm,NT,True,False,http://fm-digital-assets.fieldmuseum.org/227/625/V0074915F.jpg
Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Burmeistera,Burmeistera bullatifolia,Campanilla de monte,burmeistera-bullatifolia,Hierba epífita o terrestre de sotobosque con flores tubulares características adaptadas a la polinización por murciélagos. Es una especie endémica de los Andes colombianos con alta especificidad de hábitat.,1800-2800 msnm,VU,True,False,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Busarellus,Busarellus nigricollis,Aguilucho colorado,busarellus-nigricollis,"Ave rapaz de plumaje rojizo y cabeza blanquecina que habita zonas pantanosas y humedales. Es un depredador especializado en peces, lo que lo hace un indicador biológico de la salud de los ecosistemas acuáticos.",0-1500 msnm,LC,True,False,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo albicaudatus,Gavilán coliblanco,buteo-albicaudatus,Rapaz de tamaño mediano con una cola blanca distintiva que se observa frecuentemente en zonas abiertas y sabanas. Es un depredador generalista que ayuda a controlar poblaciones de pequeños roedores.,0-2500 msnm,LC,True,False,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo brachyurus,Gavilán rabicorto,buteo-brachyurus,"Rapaz de alas anchas y cola corta, con dos fases de coloración (clara y oscura). Es un ave forestal que suele cazar desde grandes alturas, siendo un depredador ágil en el dosel arbóreo.",500-2500 msnm,LC,True,False,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo platypterus,Gavilán aliancho,buteo-platypterus,"Rapaz migratoria que atraviesa Colombia en grandes bandadas durante sus desplazamientos estacionales. Es un ave de tamaño pequeño a mediano, fundamental en la dinámica de las cadenas tróficas durante su migración.",0-3000 msnm,LC,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/175408427/original.jpeg
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Gavilán aliancho,buteo-swainsoni,Ave rapaz migratoria que atraviesa el Eje Cafetero durante sus desplazamientos estacionales. Es un controlador biológico natural de roedores e insectos en ecosistemas agrícolas.,0-3000 msnm,LC,True,False,http://upload.wikimedia.org/wikipedia/commons/7/7b/Buteo_swainsoni_%28Calibas%29.jpg
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Buthraupis,Buthraupis montana,Tangara montana,buthraupis-montana,"Ave colorida de los bosques andinos, caracterizada por su plumaje azul y amarillo intenso. Habita principalmente en el dosel de bosques nublados y bordes de selva.",2000-3500 msnm,LC,True,False,
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,Butorides striata,Garza estriada,butorides-striata,"Garza pequeña de hábitos solitarios que frecuenta humedales, orillas de ríos y estanques. Es una especie adaptada a diversos cuerpos de agua en zonas bajas y medias.",0-2000 msnm,LC,True,False,http://upload.wikimedia.org/wikipedia/commons/0/0e/Butorides_striata_-_Laem_Pak_Bia.jpg
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,Butorides virescens,Garza verde,butorides-virescens,"Ave acuática de tamaño pequeño, similar a la garza estriada, con plumaje verdoso y hábitos de caza sigilosos. Se encuentra en zonas pantanosas y vegetación densa cerca del agua.",0-1500 msnm,LC,True,False,http://upload.wikimedia.org/wikipedia/commons/5/5f/Green_heron_%28Butorides_virescens_virescens%29_young_adult.jpg
Animalia,Chordata,Aves,Passeriformes,Icteridae,Cacicus,Cacicus chrysonotus,Cacique de lomo dorado,cacicus-chrysonotus,"Ave de plumaje negro brillante con parches dorados, conocida por sus complejas vocalizaciones y nidos colgantes. Habita en bosques húmedos y bordes de selva.",500-2000 msnm,LC,True,False,
Animalia,Chordata,Mammalia,Paucituberculata,Caenolestidae,Caenolestes,Caenolestes fuliginosus,Ratón runcho andino,caenolestes-fuliginosus,Pequeño marsupial endémico de los Andes que habita en páramos y bosques altoandinos. Es un depredador de invertebrados con una morfología primitiva que lo hace de gran interés científico para estudios evolutivos.,2000-4000 msnm,LC,True,False,http://upload.wikimedia.org/wikipedia/commons/c/c7/HyracodonFuliginosusWolf2.jpg
Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Caiman,Caiman crocodilus,Babilla,caiman-crocodilus,Reptil crocodiliano de tamaño mediano que habita en humedales y ríos de tierras bajas. Es una especie clave en el control de poblaciones de peces y otros vertebrados acuáticos.,0-1000 msnm,LC,True,False,
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cairina,Cairina moschata,Pato criollo,cairina-moschata,"Ave acuática de gran tamaño, ampliamente domesticada en zonas rurales de Colombia. Es conocida por su plumaje oscuro y su capacidad de adaptación a diversos cuerpos de agua.",0-1500 msnm,LC,False,False,https://upload.wikimedia.org/wikipedia/commons/e/e9/Cairina_moschata_1.jpg
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Calamagrostis,Calamagrostis effusa,Paja de páramo,calamagrostis-effusa,Gramínea perenne característica de los ecosistemas de páramo. Desempeña un papel crucial en la retención de agua y la formación de suelos en la alta montaña.,2800-4200 msnm,LC,False,False,https://static.inaturalist.org/photos/55856461/original.jpeg
Plantae,Tracheophyta,Magnoliopsida,Zingiberales,Marantaceae,Calathea,Calathea crotalifera,Bijao,calathea-crotalifera,Planta herbácea de hojas grandes y vistosas inflorescencias en forma de espiga. Es muy común en zonas húmedas y bordes de bosque en el Eje Cafetero.,0-2000 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/139616074/original.jpeg
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Calceolariaceae,Calceolaria,Calceolaria microbefaria,Zapatitos,calceolaria-microbefaria,Hierba perenne de flores amarillas con forma característica de bolsa o zapato. Es común en los páramos y zonas altoandinas del Eje Cafetero.,2500-3800 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/103692755/original.jpeg
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Calceolariaceae,Calceolaria,Calceolaria perfoliata,Zapatitos de monte,calceolaria-perfoliata,Planta trepadora o arbustiva con hojas perfoliadas y flores amarillas brillantes. Se encuentra en los bordes de bosque nublado y zonas de transición.,1800-3000 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/26298354/original.jpeg
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris bairdii,Playero de Baird,calidris-bairdii,Ave migratoria neártica que visita humedales y zonas abiertas en Colombia durante su paso migratorio. Es un visitante estacional de gran importancia para la ecología de los humedales altoandinos.,0-3500 msnm,LC,True,False,https://upload.wikimedia.org/wikipedia/commons/c/ca/Calidris_bairdii%2C_Deer_Creek%2C_Ohio_2.jpg
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris melanotos,Playero pectoral,calidris-melanotos,Ave limícola migratoria que se distingue por su plumaje pectoral oscuro. Utiliza humedales y zonas pantanosas como sitios de parada durante su migración.,0-3000 msnm,LC,True,False,http://upload.wikimedia.org/wikipedia/commons/9/96/Pectoral_Sandpiper3.jpg
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Caligo,Caligo atreus,Mariposa búho,caligo-atreus,Mariposa de gran tamaño con patrones en sus alas posteriores que asemejan los ojos de un búho. Es un habitante común de los bosques húmedos y bordes de cafetales.,0-2000 msnm,LC,False,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Caligo,Caligo oileus,Mariposa búho,caligo-oileus,Mariposa de gran tamaño conocida por los ocelos en sus alas posteriores que imitan los ojos de un búho. Es común en los bordes de bosque del Eje Cafetero y se alimenta de jugos de frutas fermentadas.,0-2000 msnm,LC,False,False,
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Callianthe,Callianthe megapotamica,Farolito,callianthe-megapotamica,Arbusto ornamental muy apreciado por sus flores colgantes con cálices rojos y pétalos amarillos. Es una especie emblemática en jardines de clima templado y frío en la región andina.,1500-2800 msnm,LC,False,False,
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Callianthe,Callianthe picta,Farolito pintado,callianthe-picta,"Arbusto similar al farolito común, caracterizado por sus flores con venaciones marcadas o patrones de coloración distintivos. Es nativo de zonas montañosas y se utiliza frecuentemente en jardinería de altura.",1800-3000 msnm,LC,False,False,
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calliphlox,Calliphlox mitchellii,Colibrí de Mitchell,calliphlox-mitchellii,"Pequeño colibrí con una cola distintiva, habitante de los bordes de bosque y zonas de transición en la cordillera. Es una especie de gran interés para observadores de aves especializados.",1000-2200 msnm,LC,True,False,
Animalia,Chordata,Aves,Piciformes,Picidae,Campephilus,Campephilus pollens,Carpintero grande,campephilus-pollens,Carpintero de gran tamaño con un plumaje oscuro y una cresta roja prominente. Habita en bosques húmedos maduros y es un indicador de la salud del ecosistema forestal.,1500-3000 msnm,LC,True,False,
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,Perro criollo,canis-lupus-familiaris,"El perro doméstico es un acompañante histórico en las zonas rurales del Eje Cafetero. Desempeña roles fundamentales en el pastoreo, la vigilancia de fincas y como animal de compañía en contextos campesinos.",0-3500 msnm,LC,False,False,https://upload.wikimedia.org/wikipedia/commons/5/57/7weeks_old.JPG
Plantae,Tracheophyta,Liliopsida,Zingiberales,Cannaceae,Canna,Canna indica,Achira,canna-indica,Planta herbácea perenne con flores vistosas y rizomas ricos en almidón. Es muy apreciada en la región por su valor ornamental y su uso culinario tradicional.,500-2500 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/180031954/large.jpeg
Animalia,Chordata,Aves,Piciformes,Capitonidae,Capito,Capito hypoleucus,Cabezón de anteojos,capito-hypoleucus,Ave endémica de Colombia que habita en las estribaciones de los Andes. Es una especie de gran interés para el avistamiento de aves debido a su distribución restringida y plumaje distintivo.,500-1500 msnm,VU,True,False,
Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum dimorphum,Ají silvestre,capsicum-dimorphum,Especie de ají silvestre que crece en los bosques andinos. Posee frutos pequeños y picantes que son parte de la biodiversidad genética de los Capsicum en Colombia.,1500-2500 msnm,NE,False,False,
Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,Caracara cheriway,Caracara carancho,caracara-cheriway,Ave rapaz carroñera y oportunista muy común en paisajes abiertos y zonas rurales. Es un controlador biológico natural al alimentarse de pequeños vertebrados e insectos.,0-3000 msnm,LC,True,False,http://upload.wikimedia.org/wikipedia/commons/0/0c/Caracara_cheriway_-Brevard_Zoo-8a.jpg
Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,Caracara plancus,Caracara carancho,caracara-plancus,Ave rapaz carroñera y oportunista de amplia distribución en América. Se caracteriza por su comportamiento inteligente y su dieta generalista que incluye desde insectos hasta pequeños vertebrados.,0-3000 msnm,LC,True,False,
Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,Cardellina canadensis,Reinita canadiense,cardellina-canadensis,Ave migratoria neártica que llega a los Andes colombianos durante el invierno boreal. Es un insectívoro activo que habita principalmente en el sotobosque de bosques húmedos y bordes de bosque.,1000-2500 msnm,LC,True,False,http://upload.wikimedia.org/wikipedia/commons/b/b1/8G7D5475-Canada.jpg
Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex pichinchensis,Cortadera de páramo,carex-pichinchensis,Planta herbácea perenne propia de ecosistemas de alta montaña y páramos. Posee hojas acintadas y una estructura radicular densa que ayuda a la estabilización del suelo.,2800-4000 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/48690738/original.jpg
Plantae,Tracheophyta,Liliopsida,Pandanales,Cyclanthaceae,Carludovica,Carludovica palmata,Iraca,carludovica-palmata,"Planta con aspecto de palma, aunque no lo es, cuyas hojas jóvenes son la materia prima fundamental para la tejeduría artesanal. Es una especie emblemática de la cultura cafetera y la tradición artesanal colombiana.",0-2000 msnm,LC,False,False,https://upload.wikimedia.org/wikipedia/commons/f/f0/Carludovica_palmata.jpg
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,Murciélago de cola corta,carollia-brevicauda,"Murciélago frugívoro de tamaño pequeño, fundamental para la dispersión de semillas en bosques tropicales y cafetales. Es una especie común que se adapta bien a paisajes transformados.",0-2500 msnm,LC,True,False,http://upload.wikimedia.org/wikipedia/commons/b/b2/Carollia_brevicauda.jpg
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Castilia,Castilia eranites,Mariposa de alas transparentes,castilia-eranites,Mariposa de tamaño mediano con patrones de coloración complejos en sus alas. Es un componente importante de la biodiversidad de los ecosistemas montañosos del Eje Cafetero.,1000-2500 msnm,LC,False,False,
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Castilleja,Castilleja arvensis,Pincel de campo,castilleja-arvensis,Planta herbácea hemiparásita con brácteas de colores brillantes que simulan flores. Se encuentra frecuentemente en zonas abiertas y bordes de caminos en la región andina.,1500-3000 msnm,LC,False,False,
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Castilleja,Castilleja fissifolia,Pincel de páramo,castilleja-fissifolia,Planta de alta montaña con hojas profundamente divididas y brácteas rojizas. Es una especie adaptada a condiciones de alta radiación y temperaturas bajas.,2800-4000 msnm,LC,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/175740609/original.jpeg
Animalia,Chordata,Aves,Passeriformes,Catamblyrhynchidae,Catamblyrhynchus,Catamblyrhynchus diadema,Gorrión coronado,catamblyrhynchus-diadema,Ave pequeña y distintiva con una corona de color amarillo brillante que contrasta con su plumaje gris oscuro. Es una especie muy buscada por observadores de aves debido a su singularidad taxonómica.,2000-3500 msnm,LC,True,False,
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Catamenia,Catamenia analis,Semillero coliblanco,catamenia-analis,Ave granívora de tamaño pequeño que habita en áreas abiertas y arbustivas. Se caracteriza por su comportamiento inquieto y su dieta basada principalmente en semillas.,1500-3500 msnm,LC,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/165699409/original.jpeg
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Catamenia,Catamenia homochroa,Semillero paramuno,catamenia-homochroa,Ave de tamaño pequeño que habita principalmente en zonas de páramo y matorrales altoandinos. Se caracteriza por su plumaje grisáceo y su especialización en el consumo de semillas de gramíneas.,2500-4000 msnm,LC,True,False,
Animalia,Chordata,Aves,Passeriformes,Thraupidae,Catamenia,Catamenia inornata,Semillero simple,catamenia-inornata,Ave paseriforme de coloración sobria que frecuenta áreas abiertas y bordes de bosque en zonas altoandinas. Es una especie clave para la dispersión de semillas de plantas pioneras en ecosistemas de montaña.,2000-3500 msnm,LC,True,False,http://upload.wikimedia.org/wikipedia/commons/c/c2/NBII_Image_Gallery_-Catamenia_inornata-a00269.jpg
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Catasetum,Catasetum tabulare,Orquídea Catasetum,catasetum-tabulare,Orquídea epífita con pseudobulbos robustos y flores con mecanismos de polinización especializados. Es valorada por su morfología compleja y fragancia intensa.,0-1500 msnm,NE,True,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Catasticta,Catasticta prioneris,Mariposa blanca de los bosques,catasticta-prioneris,"Mariposa de la familia Pieridae, común en los bosques nublados del Eje Cafetero. Sus larvas se alimentan de plantas de la familia Loranthaceae.",1500-3000 msnm,LC,False,False,
Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Cathartes,Cathartes aura,Gallinazo cabeza roja,cathartes-aura,"Ave carroñera de amplia distribución, fundamental para la limpieza de ecosistemas al consumir materia orgánica en descomposición. Posee un sentido del olfato altamente desarrollado.",0-3500 msnm,LC,False,False,http://upload.wikimedia.org/wikipedia/commons/6/65/Cathartes_aura_at_Tomales_Bay.jpg
Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,Catharus fuscater,Zorzal piquinegro,catharus-fuscater,"Ave paseriforme de plumaje oscuro y pico negro que habita en el sotobosque de bosques húmedos montanos. Es una especie residente en los Andes colombianos, conocida por su comportamiento esquivo y canto melodioso.",1500-3000 msnm,LC,True,False,
Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,Catharus fuscescens,Zorzal rojizo,catharus-fuscescens,Ave migratoria neártica que llega a Colombia durante el invierno boreal. Se caracteriza por su plumaje pardo rojizo y su comportamiento migratorio de larga distancia.,0-2500 msnm,LC,True,False,http://upload.wikimedia.org/wikipedia/commons/3/3f/Catharus_fuscescens_CT.jpg
Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,Catharus minimus,Zorzal de Bicknell,catharus-minimus,"Ave migratoria de paso por Colombia, con plumaje grisáceo y hábitos solitarios. Es una especie que requiere hábitats boscosos bien conservados para su descanso durante la migración.",1000-2500 msnm,LC,True,False,http://upload.wikimedia.org/wikipedia/commons/5/5a/Graycheekedthrush36.jpg
Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,Catharus ustulatus,Zorzal de Swainson,catharus-ustulatus,"Ave migratoria común en los bosques andinos durante su periodo de invernada. Posee un anillo ocular claro y un canto complejo, siendo una de las especies más observadas por ornitólogos en la región.",1000-3000 msnm,LC,True,False,https://upload.wikimedia.org/wikipedia/commons/3/35/Catharus_ustulatus_-North_Dakota-8a.jpg
Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cattleya,Cattleya warscewiczii,Orquídea de mayo,cattleya-warscewiczii,"Orquídea epífita de gran tamaño y flores espectaculares, considerada una de las flores más bellas de Colombia. Es endémica de los valles interandinos y muy apreciada por su valor ornamental.",500-1500 msnm,VU,True,False,https://inaturalist-open-data.s3.amazonaws.com/photos/154810033/original.jpg
